"Product's Name","Title of Page","URL"
"Black Essential Desodorante Roll-On 50ml","Black Essential Desodorante Roll-On 50ml - Época Cosméticos","https://www.epocacosmeticos.com.br/black-essential-desodorante-roll-on-50ml-22993/p"
"Gentlemen Only Absolute Givenchy - Perfume Masculino - Eau de Parfum","Perfume Gentlemen Only Absolute Givenchy Masculino - Época Cosméticos","https://www.epocacosmeticos.com.br/gentlemen-only-absolute-eau-de-parfum-givenchy-perfume-masculino/p"
"Espuma de Limpeza Facial RK by Kiss - Charcoal Cleansing Foam - 75g","Espuma de Limpeza Facial RK by Kiss - Charcoal Cleansing Foam - Época Cosméticos","https://www.epocacosmeticos.com.br/espuma-de-limpeza-facial-rk-by-kiss-charcoal-cleansing-foam/p"
"Bio-Kortex Condicionador Reestruturador Futura Biotech - Condicionador Reestruturador - 150ml","Bio-Kortex Condicionador Reestruturador Futura Biotech - Época Cosméticos","https://www.epocacosmeticos.com.br/bio-kortex-condicionador-reestruturador-futura-biotech-condicionador-reestruturador/p"
"Creme Nutritivo para peles Maduras Shiseido Benefiance Nutriperfect Day Cream Spf15 - 50ml","Creme Shiseido Benefiance Nutriperfect Day Cream SPF15 - Época Cosméticos","https://www.epocacosmeticos.com.br/benefiance-nutriperfect-day-cream-spf15-shiseido-creme-nutritivo-para-peles-maduras/p"
"My Burberry Burberry - Perfume Feminino - Eau de Toilette","Perfume My Burberry Burberry Feminino EDT - Época Cosméticos","https://www.epocacosmeticos.com.br/my-burberry-eau-de-toilette-burberry-perfume-feminino/p"
"L'Oréal Professionnel Homme Sculpte Force 3 - Pasta Modeladora - 150ml","Pasta L'Oréal Professionnel Homme Sculpte Force 3 - Época Cosméticos","https://www.epocacosmeticos.com.br/homme-sculpte-force-3-l-oreal-professionnel-pasta-modeladora/p"
"Pincel para Pó Maria Margarida - FR13 Coleção Flávia Régis MakeUp - 1 Un","Pincel para Pó Maria Margarida by Fávia Régis MakeUp - Época Cosméticos","https://www.epocacosmeticos.com.br/pincel-para-po-maria-margarida-fr13-colecao-flavia-regis-makeup/p"
"Firmador para Seios Palmer's Cocoa Butter Bust Cream - 125ml","Firmador para Seios Palmer's Cocoa Butter Bust Cream - Época Cosméticos","https://www.epocacosmeticos.com.br/cocoa-butter-bust-cream-palmers-firmador-para-os-seios/p"
"Fairy Tail Océane - Pincel Duo Fiber - 1 Un","Fairy Tail Océane - Pincel Duo Fiber - Época Cosméticos","https://www.epocacosmeticos.com.br/fairy-tail-oceane-pincel-duo-fiber/p"
"Anacaps Activ+ Ducray - Suplemento Antiqueda Capilar - 30 Cáps","Anacaps Activ+ Ducray - Suplemento Antiqueda Capilar - Época Cosméticos","https://www.epocacosmeticos.com.br/anacaps-activ-ducray-suplemento-antiqueda-capilar/p"
"Avène Loção Fps 50 Avène - Protetor Solar - 100ml","Avène Loção Fps 50 Avène - Protetor Solar - Época Cosméticos","https://www.epocacosmeticos.com.br/avene-locao-fps-50-avene-protetor-solar/p"
"Antiidade Rejuvenescedor Avène - YsthéAl Intense - 30ml","Rejuvenescedor Facial Avène - YsthéAl Intense - Época Cosméticos","https://www.epocacosmeticos.com.br/rejuvenescedor-facial-avene-ystheal-intense-/p"
"Loção Hidratante Every Day - Ameixa - 250ml","Loção Hidratante Every Day- Ameixa - Época Cosméticos","https://www.epocacosmeticos.com.br/locao-hidratante-every-day-ameixa/p"
"Sexy Girl Phyto Phytoderm - Feminino - Deo Colônia - Perfume + Hidratante Corporal - Kit","Kit Sexy Girl Phyto Phytoderm Feminino - Época Cosméticos","https://www.epocacosmeticos.com.br/sexy-girl-phyto-phytoderm-kit-de-perfume-deo-colonia-feminino-200ml-hidratante-corporal-200ml/p"
"Cadiveu Sol do Rio Re-Charge Protein - Leave-In","Leave-In - Cadiveu Sol do Rio Re-Charge Protein - Época Cosméticos","https://www.epocacosmeticos.com.br/cadiveu-sol-do-rio-re-charge-protein-leave-in/p"
"Tônico Facial Skinceuticals - Blemish + Age Solution - 125ml","Tônico Facial Skinceuticals - Blemish + Age Solution - Época Cosméticos","https://www.epocacosmeticos.com.br/tonico-facial-skinceuticals-blemish-age-solution/p"
"Carioca Granado - Difusor de Ambiente - 235ml","Carioca Granado - Difusor de Ambiente - Época Cosméticos","https://www.epocacosmeticos.com.br/carioca-granado-difusor-de-ambiente/p"
"Skin Resurfacing Cleanser Dermalogica - Higienizante 2 em 1 - 150ml","Skin Resurfacing Cleanser Dermalogica - Higienizante 2 em 1 - Época Cosméticos - Época Cosméticos","https://www.epocacosmeticos.com.br/skin-resurfacing-cleanser-dermalogica-higienizante-2-em-1/p"
"Hidratante Corporal Neutrogena Body Care Naturals - 200ml","Hidratante Corporal Neutrogena Body Care Naturals - Época Cosméticos","https://www.epocacosmeticos.com.br/body-care-naturals-neutrogena-hidratante-corporal/p"
"Máscara Facial Perfecta - Peel-Off - 1 Un","Máscara Facial Perfecta - Peel-Off - Época Cosméticos","https://www.epocacosmeticos.com.br/mascara-facial-perfecta-peel-off-/p"
"Delineador de Sobrancelha Lizz Professional - Soft Groom - 1 Un","Delineador de Sobrancelha Lizz Professional -Soft Groom - Época Cosméticos","https://www.epocacosmeticos.com.br/delineador-de-sobrancelha-lizz-professional-soft-groom/p"
"Hidratante Corporal Delikad Butterfly Collection Dream - 220ml","Hidratante Corporal Delikad Butterfly Collection Dream - Época Cosméticos","https://www.epocacosmeticos.com.br/hidratante-corporal-delikad-butterfly-collection-dream/p"
"L'Oréal Paris Elseve Light-Poo Supreme Control 4D - Tratamento - 400ml","Tratamento L'Oréal Elseve Light-Poo Supreme Control 4D - Época Cosméticos","https://www.epocacosmeticos.com.br/elseve-light-poo-supreme-control-4d-l-oreal-paris-tratamento/p"
"Máscara Facial Perfecta - Gold 24K Illuminé - 1 Un","Máscara Facial Perfecta - Gold 24K Illuminé - Época Cosméticos","https://www.epocacosmeticos.com.br/mascara-facial-perfecta-gold-24k-illumine/p"
"Skin Rejuvenating Eye Mask Iluminage Beauty - Máscara Anti Idade - 1 Un","Skin Rejuvenating Eye Iluminage - Máscara Anti Idade - Época Cosméticos","https://www.epocacosmeticos.com.br/skin-rejuvenating-eye-mask-iluminage-mascara-anti-idade/p"
